LSOA_code,Active,A_E_F_R,A_E_P_R,A_SF_R,A_S_F_R,A_S_P_R,A_So_F_R,A_So_P_R,A_U_R,I_LS_R,I_LH_R,I_O_R,I_R_R,I_SF_R
E01000001,66.888 ,42.257 ,5.752 ,1.180 ,3.097 ,0.147 ,5.900 ,5.973 ,2.581 ,0.664 ,2.507 ,1.770 ,22.566 ,5.605 
E01000002,70.023 ,45.580 ,4.689 ,0.846 ,2.767 ,0.307 ,8.532 ,4.842 ,2.460 ,0.000 ,2.152 ,3.228 ,17.909 ,6.687 
E01000003,71.011 ,45.013 ,7.646 ,0.665 ,1.197 ,0.465 ,5.984 ,5.519 ,4.521 ,2.660 ,2.660 ,3.125 ,16.157 ,4.388 
E01000005,59.336 ,34.025 ,9.855 ,3.942 ,0.311 ,0.519 ,2.593 ,1.971 ,6.120 ,5.394 ,4.149 ,7.573 ,9.855 ,13.693 
E01032739,79.948 ,59.638 ,3.299 ,1.552 ,1.682 ,0.453 ,5.951 ,4.463 ,2.911 ,0.712 ,1.811 ,4.981 ,2.458 ,10.091 
E01032740,73.194 ,49.739 ,3.053 ,2.308 ,1.787 ,0.223 ,9.084 ,3.723 ,3.276 ,0.819 ,1.862 ,2.978 ,5.808 ,15.339 
E01000006,66.363 ,28.942 ,13.875 ,3.504 ,1.682 ,0.701 ,7.779 ,5.816 ,4.064 ,5.186 ,9.320 ,3.504 ,8.199 ,7.428 
E01000007,72.495 ,36.874 ,11.735 ,7.236 ,1.252 ,0.603 ,4.824 ,2.829 ,7.143 ,3.340 ,9.787 ,4.963 ,2.922 ,6.494 
E01000008,58.049 ,23.711 ,14.512 ,4.124 ,1.190 ,0.634 ,4.362 ,4.362 ,5.155 ,6.582 ,10.864 ,6.423 ,4.203 ,13.878 
E01000009,62.260 ,26.581 ,11.585 ,3.838 ,1.990 ,0.498 ,7.960 ,3.980 ,5.828 ,5.899 ,10.377 ,5.330 ,9.382 ,6.752 
E01000011,61.811 ,24.755 ,12.377 ,3.623 ,1.208 ,0.830 ,6.717 ,7.170 ,5.132 ,2.340 ,9.962 ,6.264 ,9.283 ,10.340 
E01000012,65.776 ,26.399 ,14.631 ,4.644 ,1.018 ,0.445 ,7.125 ,4.198 ,7.316 ,3.053 ,12.087 ,5.471 ,4.707 ,8.906 
E01000013,63.669 ,30.382 ,12.606 ,3.187 ,1.629 ,0.567 ,6.091 ,3.754 ,5.453 ,4.816 ,8.499 ,5.099 ,11.969 ,5.949 
E01000014,65.703 ,31.331 ,13.764 ,3.498 ,1.825 ,0.380 ,6.388 ,4.030 ,4.487 ,5.171 ,7.605 ,4.791 ,11.103 ,5.627 
E01000015,67.224 ,31.221 ,13.825 ,4.032 ,1.498 ,0.576 ,7.200 ,3.571 ,5.300 ,4.320 ,7.661 ,4.493 ,8.641 ,7.661 
E01000016,66.069 ,32.855 ,11.693 ,4.232 ,1.435 ,0.430 ,8.178 ,3.228 ,4.017 ,3.945 ,7.891 ,4.735 ,10.760 ,6.600 
E01000017,64.297 ,31.116 ,11.697 ,3.593 ,0.688 ,0.535 ,7.798 ,3.440 ,5.428 ,6.498 ,7.263 ,3.364 ,11.697 ,6.881 
E01000018,66.963 ,32.074 ,13.333 ,3.556 ,1.259 ,0.296 ,8.000 ,4.222 ,4.222 ,4.889 ,6.889 ,4.963 ,9.926 ,6.370 
E01000019,63.413 ,28.098 ,14.771 ,2.122 ,1.443 ,0.934 ,5.772 ,5.603 ,4.669 ,4.584 ,8.829 ,4.754 ,9.932 ,8.489 
E01000020,62.516 ,27.771 ,11.395 ,2.989 ,0.996 ,0.311 ,7.161 ,5.604 ,6.289 ,6.974 ,8.468 ,4.670 ,9.776 ,7.597 
E01000021,61.071 ,27.899 ,14.031 ,3.082 ,1.541 ,0.649 ,5.272 ,3.325 ,5.272 ,5.434 ,10.706 ,5.758 ,9.895 ,7.137 
E01000022,63.595 ,29.197 ,15.237 ,3.467 ,1.369 ,0.274 ,5.292 ,4.197 ,4.562 ,4.288 ,7.208 ,4.745 ,12.135 ,8.029 
E01000024,63.482 ,28.839 ,11.607 ,2.857 ,1.964 ,0.446 ,7.054 ,4.196 ,6.518 ,5.446 ,8.571 ,5.000 ,9.911 ,7.589 
E01000025,63.089 ,31.163 ,12.812 ,2.839 ,1.316 ,0.346 ,5.540 ,4.155 ,4.917 ,4.778 ,7.271 ,4.848 ,12.950 ,7.064 
E01000027,61.017 ,28.000 ,11.525 ,3.593 ,1.153 ,0.407 ,6.712 ,4.339 ,5.288 ,8.068 ,8.610 ,3.593 ,11.390 ,7.322 
E01000028,56.538 ,25.854 ,11.887 ,3.566 ,0.892 ,0.223 ,5.349 ,4.012 ,4.755 ,5.646 ,8.767 ,5.498 ,12.556 ,10.996 
E01000029,57.470 ,28.423 ,11.536 ,2.085 ,1.390 ,0.556 ,6.393 ,3.961 ,3.127 ,2.502 ,6.602 ,2.849 ,23.489 ,7.088 
E01000030,63.860 ,30.000 ,13.918 ,3.977 ,1.404 ,0.292 ,5.322 ,3.626 ,5.322 ,6.374 ,8.187 ,4.912 ,8.596 ,8.070 
E01000031,61.758 ,30.808 ,13.152 ,3.145 ,1.716 ,0.357 ,4.146 ,3.931 ,4.503 ,2.788 ,7.720 ,4.718 ,16.369 ,6.648 
E01000032,61.504 ,28.824 ,11.947 ,2.845 ,1.833 ,0.632 ,6.384 ,3.603 ,5.436 ,3.856 ,8.976 ,4.614 ,15.044 ,6.005 
E01000033,57.321 ,28.125 ,13.393 ,2.857 ,0.982 ,0.268 ,5.089 ,2.768 ,3.839 ,6.518 ,9.643 ,5.982 ,13.929 ,6.607 
E01000034,56.511 ,29.519 ,9.313 ,2.605 ,1.342 ,0.395 ,5.841 ,3.394 ,4.104 ,6.551 ,6.235 ,6.472 ,16.654 ,7.577 
E01000035,60.673 ,28.826 ,11.050 ,3.912 ,1.647 ,0.343 ,6.932 ,3.294 ,4.667 ,3.432 ,6.726 ,4.598 ,16.198 ,8.373 
E01000036,65.004 ,33.534 ,10.146 ,3.439 ,1.376 ,0.516 ,7.911 ,4.127 ,3.955 ,2.923 ,6.363 ,4.729 ,13.586 ,7.395 
E01000037,67.047 ,36.163 ,12.197 ,2.782 ,1.213 ,0.285 ,6.063 ,3.067 ,5.278 ,2.068 ,4.494 ,3.424 ,17.475 ,5.492 
E01000038,65.097 ,35.444 ,12.355 ,2.085 ,1.236 ,0.772 ,6.564 ,2.625 ,4.015 ,2.394 ,6.100 ,2.394 ,18.842 ,5.174 
E01000039,64.244 ,37.151 ,10.940 ,2.203 ,0.954 ,0.220 ,5.727 ,3.671 ,3.377 ,3.744 ,5.507 ,4.112 ,17.327 ,5.066 
E01000040,58.694 ,26.615 ,12.562 ,3.123 ,1.207 ,0.497 ,5.394 ,4.187 ,5.110 ,4.329 ,9.581 ,6.458 ,10.646 ,10.291 
E01000041,66.764 ,31.418 ,11.855 ,3.782 ,2.327 ,0.364 ,7.345 ,4.073 ,5.600 ,2.255 ,6.836 ,4.000 ,11.709 ,8.436 
E01000042,59.620 ,27.072 ,12.319 ,3.118 ,2.281 ,0.304 ,5.932 ,3.194 ,5.399 ,7.072 ,10.038 ,5.703 ,8.897 ,8.669 
E01000043,64.918 ,28.525 ,13.361 ,5.574 ,1.393 ,0.492 ,6.639 ,4.016 ,4.918 ,3.279 ,7.213 ,4.016 ,12.459 ,8.115 
