LSOA_code,All usual residents aged 16 or over,EconomyActiveRate,InEnploymentRate,HMAaPRate,Employ30hOverRate,WorkMainlyHomeRate
E01000001,1356,66.888 ,63.643 ,45.723 ,80.903 ,74.044 
E01000002,1301,70.023 ,67.794 ,48.464 ,85.114 ,76.784 
E01000003,1504,71.011 ,66.888 ,33.533 ,79.000 ,61.768 
E01000005,964,59.336 ,52.282 ,14.849 ,73.506 ,40.964 
E01032739,1546,79.948 ,76.261 ,8.281 ,88.240 ,69.414 
E01032740,1343,73.194 ,69.099 ,11.336 ,88.470 ,70.000 
E01000006,1427,66.363 ,61.878 ,5.004 ,63.616 ,21.509 
E01000007,2156,72.495 ,63.822 ,8.878 ,71.387 ,26.575 
E01000008,1261,58.049 ,51.388 ,5.695 ,58.915 ,12.346 
E01000009,1407,62.260 ,55.792 ,5.696 ,68.072 ,20.359 
E01000011,1325,61.811 ,55.698 ,5.039 ,60.462 ,18.514 
E01000012,1572,65.776 ,57.888 ,5.219 ,62.417 ,20.575 
E01000013,1412,63.669 ,56.445 ,6.279 ,68.284 ,15.789 
E01000014,1315,65.703 ,60.456 ,5.500 ,67.718 ,18.296 
E01000015,1736,67.224 ,61.290 ,5.620 ,66.980 ,18.843 
E01000016,1394,66.069 ,61.406 ,5.174 ,70.901 ,17.245 
E01000017,1308,64.297 ,57.034 ,5.702 ,70.252 ,18.206 
E01000018,1350,66.963 ,61.630 ,5.915 ,68.225 ,16.965 
E01000019,1178,63.413 ,58.574 ,5.105 ,61.773 ,18.841 
E01000020,1606,62.516 ,55.666 ,6.941 ,65.398 ,20.449 
E01000021,1233,61.071 ,55.474 ,5.709 ,63.304 ,16.836 
E01000022,1096,63.595 ,58.212 ,6.285 ,62.208 ,21.575 
E01000024,1120,63.482 ,56.161 ,5.000 ,67.412 ,16.825 
E01000025,1444,63.089 ,58.033 ,5.329 ,67.303 ,21.078 
E01000027,1475,61.017 ,54.508 ,10.000 ,66.667 ,17.684 
E01000028,1346,56.538 ,50.817 ,6.893 ,64.431 ,18.208 
E01000029,1439,57.470 ,53.579 ,11.047 ,68.435 ,24.258 
E01000030,1710,63.860 ,57.310 ,7.653 ,65.538 ,22.784 
E01000031,1399,61.758 ,56.469 ,4.933 ,66.288 ,30.730 
E01000032,1582,61.504 ,55.499 ,5.529 ,67.571 ,22.398 
E01000033,1120,57.321 ,52.500 ,6.932 ,65.816 ,14.651 
E01000034,1267,56.511 ,51.618 ,5.013 ,71.975 ,21.407 
E01000035,1457,60.673 ,55.937 ,9.986 ,69.428 ,19.036 
E01000036,1163,65.004 ,59.157 ,9.232 ,71.942 ,20.744 
E01000037,1402,67.047 ,60.984 ,9.779 ,72.590 ,26.340 
E01000038,1295,65.097 ,60.154 ,6.747 ,72.983 ,25.515 
E01000039,1362,64.244 ,60.132 ,5.317 ,73.871 ,26.214 
E01000040,1409,58.694 ,52.661 ,6.546 ,63.908 ,20.516 
E01000041,1375,66.764 ,59.709 ,5.319 ,70.061 ,15.572 
E01000042,1315,59.620 ,53.688 ,7.361 ,66.761 ,18.054 
E01000043,1220,64.918 ,57.541 ,5.525 ,65.007 ,19.858 
E01000044,1511,65.189 ,59.497 ,5.292 ,66.741 ,16.258 
E01000045,1277,62.725 ,56.774 ,4.044 ,66.071 ,18.630 
E01000046,1453,65.451 ,58.981 ,9.846 ,71.013 ,15.519 
E01000049,1360,58.235 ,50.074 ,11.660 ,62.186 ,10.619 
E01000050,1362,63.803 ,59.618 ,6.933 ,69.127 ,23.011 
E01000051,787,79.288 ,73.316 ,4.564 ,74.341 ,28.722 
E01000052,1708,62.002 ,56.850 ,5.040 ,62.810 ,20.124 
E01000053,1209,62.448 ,57.320 ,5.008 ,67.486 ,16.035 
E01000054,1367,65.252 ,59.546 ,5.613 ,71.498 ,17.439 
E01000055,1292,62.539 ,58.204 ,5.387 ,65.430 ,14.913 
E01000056,1269,61.387 ,55.319 ,4.953 ,66.950 ,16.524 
E01000057,1144,63.374 ,57.255 ,4.931 ,66.258 ,17.231 
E01000058,1587,65.406 ,58.286 ,5.023 ,62.959 ,14.815 
E01000059,1300,65.308 ,60.231 ,6.652 ,69.886 ,15.493 
E01000060,1546,62.160 ,56.339 ,6.611 ,61.795 ,19.885 
E01000061,1380,62.536 ,55.145 ,5.618 ,68.026 ,19.842 
E01000062,1680,64.821 ,60.952 ,5.889 ,66.438 ,18.927 
E01000063,1333,65.191 ,60.390 ,5.078 ,68.165 ,19.024 
E01000064,1736,63.652 ,59.217 ,7.716 ,69.336 ,18.945 
E01000065,1545,59.547 ,52.427 ,9.487 ,64.778 ,19.776 
E01000066,1921,54.399 ,50.442 ,10.877 ,64.029 ,23.947 
E01000067,1682,61.237 ,55.648 ,11.821 ,63.118 ,24.120 
E01000068,1476,61.043 ,57.520 ,10.834 ,64.824 ,25.650 
E01000069,1642,65.652 ,61.754 ,9.612 ,65.714 ,30.157 
E01000070,1603,61.260 ,55.521 ,5.189 ,70.045 ,31.467 
E01000071,1984,65.323 ,60.887 ,7.274 ,67.878 ,28.133 
E01000072,1556,61.504 ,55.077 ,5.750 ,66.667 ,19.173 
E01000073,1358,60.604 ,58.100 ,5.512 ,67.090 ,18.240 
E01000074,1285,64.358 ,59.066 ,4.529 ,66.135 ,20.161 
E01000075,1544,66.062 ,61.917 ,6.352 ,65.445 ,17.794 
E01000076,1627,58.451 ,52.305 ,5.547 ,68.113 ,14.452 
E01000077,1286,60.809 ,55.210 ,5.473 ,66.292 ,18.195 
E01000078,1354,63.146 ,57.755 ,5.101 ,67.436 ,16.347 
E01000079,1281,60.890 ,56.674 ,5.179 ,67.872 ,19.834 
E01000080,1337,66.941 ,61.631 ,5.285 ,68.758 ,19.320 
E01000081,1514,66.711 ,58.587 ,6.854 ,66.215 ,16.760 
E01000082,1452,64.601 ,58.953 ,5.244 ,67.602 ,16.216 
E01000083,1385,62.383 ,56.101 ,4.204 ,65.677 ,17.738 
E01000084,1089,63.361 ,57.851 ,6.416 ,68.770 ,13.766 
E01000085,1243,66.533 ,58.970 ,6.132 ,69.083 ,12.175 
E01000086,1081,64.200 ,58.927 ,4.520 ,71.763 ,15.023 
E01000087,1216,63.240 ,57.155 ,5.543 ,66.143 ,18.895 
E01000088,1439,61.501 ,56.011 ,4.497 ,65.590 ,17.662 
E01000089,1273,66.064 ,61.273 ,5.024 ,62.339 ,17.358 
E01000090,1220,65.000 ,60.246 ,3.737 ,63.029 ,17.439 
E01000091,1482,61.606 ,53.846 ,7.412 ,63.060 ,16.105 
E01000093,1321,56.699 ,52.839 ,11.243 ,65.123 ,17.493 
E01000094,1693,72.593 ,66.391 ,4.525 ,70.125 ,21.936 
E01000095,1511,68.696 ,63.468 ,5.854 ,69.634 ,26.449 
E01000096,1110,62.072 ,54.505 ,5.444 ,66.281 ,17.327 
E01000097,1455,59.107 ,54.570 ,8.564 ,68.050 ,20.127 
E01000098,1395,60.430 ,56.416 ,6.108 ,65.190 ,16.919 
E01000099,2019,69.589 ,64.388 ,4.486 ,70.846 ,22.009 
E01000100,1414,62.659 ,57.214 ,6.051 ,67.405 ,19.188 
E01000101,1298,62.018 ,56.857 ,7.197 ,65.807 ,15.604 
E01000102,1304,62.730 ,57.745 ,6.052 ,61.733 ,17.044 
E01000103,1315,69.430 ,61.293 ,5.281 ,70.050 ,20.100 
E01000104,1385,64.838 ,59.422 ,5.266 ,70.416 ,21.186 
E01000105,1748,64.531 ,58.181 ,6.637 ,69.057 ,18.719 
E01000106,1575,61.270 ,55.111 ,5.726 ,67.517 ,15.270 
E01000107,1373,58.995 ,53.678 ,10.458 ,68.556 ,21.110 
E01000108,1435,64.251 ,59.652 ,6.749 ,69.555 ,19.415 
E01000110,1234,65.559 ,59.887 ,9.673 ,65.768 ,26.839 
E01000111,1622,64.242 ,59.371 ,8.487 ,68.783 ,21.020 
E01000112,1490,65.839 ,61.611 ,7.620 ,68.621 ,25.930 
E01000113,1518,65.876 ,62.187 ,21.264 ,67.125 ,27.466 
E01000114,1708,64.813 ,61.007 ,18.102 ,67.372 ,22.424 
E01032580,1115,61.525 ,56.682 ,16.643 ,63.608 ,21.944 
E01033587,1780,75.955 ,69.888 ,15.492 ,72.231 ,30.602 
E01034469,1150,74.087 ,69.739 ,20.286 ,73.804 ,33.544 
E01034470,1102,66.788 ,61.615 ,21.212 ,66.226 ,22.386 
E01034471,1893,63.973 ,59.007 ,9.129 ,66.935 ,19.982 
E01034472,1272,68.082 ,63.836 ,18.755 ,62.099 ,24.600 
E01034473,941,63.443 ,57.917 ,16.073 ,68.750 ,25.688 
E01034474,1649,72.226 ,64.767 ,12.560 ,73.763 ,36.082 
E01034475,1384,60.766 ,55.202 ,10.330 ,68.421 ,17.740 
E01034476,1237,69.038 ,63.137 ,7.950 ,68.031 ,26.478 
E01034477,1087,78.289 ,70.929 ,8.655 ,68.806 ,27.458 
E01034478,856,87.617 ,82.360 ,4.728 ,79.831 ,36.312 
E01034479,1506,63.679 ,56.773 ,7.245 ,61.324 ,18.531 
E01000115,1179,60.475 ,57.082 ,10.683 ,67.899 ,45.590 
E01000116,1363,64.123 ,60.822 ,7.947 ,68.034 ,41.576 
E01000117,1404,60.613 ,58.191 ,7.674 ,68.137 ,42.525 
E01000118,1641,64.656 ,60.695 ,6.992 ,69.679 ,39.017 
E01000119,1467,60.668 ,57.192 ,25.108 ,68.365 ,46.454 
E01000120,1227,62.836 ,57.702 ,28.181 ,70.945 ,46.110 
E01000121,1207,57.415 ,52.278 ,13.494 ,62.063 ,36.204 
E01000122,1204,63.953 ,61.296 ,12.190 ,66.532 ,42.105 
E01000123,1428,71.849 ,67.997 ,23.976 ,69.333 ,42.300 
E01000124,1469,64.193 ,59.292 ,23.894 ,65.862 ,35.206 
E01000126,1817,62.851 ,55.971 ,11.934 ,67.713 ,29.458 
E01000127,1195,62.762 ,57.824 ,15.679 ,64.689 ,22.014 
E01000128,1602,61.610 ,56.742 ,13.343 ,67.647 ,24.345 
E01000129,1258,62.401 ,57.472 ,22.009 ,66.713 ,17.931 
E01000130,1524,68.963 ,60.236 ,19.156 ,65.119 ,22.186 
E01000131,1602,64.357 ,60.362 ,23.744 ,69.493 ,28.542 
E01000132,1211,67.960 ,60.776 ,10.471 ,68.349 ,20.544 
E01000133,1277,61.785 ,57.792 ,14.318 ,63.760 ,22.900 
E01000134,1422,62.096 ,56.329 ,4.805 ,66.419 ,23.067 
E01000135,1381,59.305 ,56.408 ,15.369 ,70.038 ,54.278 
E01000136,1166,59.777 ,57.204 ,9.243 ,68.825 ,63.174 
E01000137,1248,61.779 ,54.968 ,12.402 ,63.464 ,34.493 
E01000138,1326,61.765 ,57.315 ,20.484 ,62.598 ,36.711 
E01000139,1151,67.246 ,62.554 ,17.825 ,71.528 ,54.092 
E01000140,1623,67.098 ,63.463 ,16.251 ,71.014 ,54.211 
E01000141,1565,70.735 ,63.898 ,17.779 ,67.068 ,31.705 
E01000142,1803,65.336 ,59.401 ,22.349 ,65.149 ,37.662 
E01000143,1313,63.595 ,56.816 ,17.210 ,64.400 ,36.667 
E01000144,1339,65.870 ,60.792 ,12.628 ,67.034 ,49.691 
E01000145,1182,59.306 ,55.076 ,10.278 ,62.348 ,46.451 
E01000146,1592,68.593 ,64.761 ,11.830 ,69.472 ,48.780 
E01000147,1612,63.151 ,60.050 ,18.331 ,71.222 ,23.364 
E01000150,1795,67.911 ,63.064 ,17.345 ,67.892 ,31.083 
E01000151,1204,55.316 ,49.336 ,12.138 ,57.070 ,20.034 
E01000152,1984,72.228 ,66.431 ,25.039 ,70.539 ,36.798 
E01000153,1490,60.470 ,55.570 ,18.308 ,61.985 ,26.291 
E01000154,1534,67.014 ,58.540 ,14.342 ,69.978 ,29.497 
E01000156,1529,70.504 ,65.795 ,12.500 ,72.809 ,48.307 
E01000157,1224,71.814 ,65.686 ,19.743 ,66.791 ,45.556 
E01000158,1158,67.789 ,63.644 ,19.172 ,67.391 ,40.591 
E01000159,1463,63.295 ,60.287 ,13.915 ,65.198 ,44.470 
E01000160,1581,71.031 ,67.173 ,19.774 ,69.991 ,49.483 
E01000161,1625,60.738 ,57.662 ,11.741 ,69.050 ,42.382 
E01000162,1368,55.775 ,51.316 ,28.426 ,60.944 ,39.316 
E01000163,1333,64.441 ,58.140 ,26.641 ,68.057 ,27.771 
E01000164,1339,63.480 ,57.879 ,23.983 ,66.667 ,32.171 
E01000165,1464,61.339 ,57.855 ,19.830 ,65.845 ,37.456 
E01000166,1304,58.742 ,54.678 ,30.150 ,69.748 ,40.028 
E01000167,1097,65.542 ,60.893 ,28.930 ,69.474 ,32.829 
E01000168,1278,57.512 ,55.008 ,27.792 ,67.751 ,46.724 
E01000169,1311,66.667 ,62.853 ,10.811 ,69.361 ,43.494 
E01000170,1519,65.109 ,59.645 ,10.364 ,64.901 ,37.292 
E01000171,1733,68.321 ,61.454 ,22.146 ,66.386 ,35.084 
E01000172,1318,58.422 ,55.690 ,16.720 ,68.027 ,50.341 
E01000173,1303,66.462 ,63.085 ,25.332 ,68.453 ,45.732 
E01000174,1378,63.280 ,59.216 ,20.495 ,69.012 ,37.731 
E01000175,1513,71.712 ,67.350 ,21.307 ,62.793 ,42.157 
E01000176,1477,57.888 ,50.102 ,21.703 ,68.421 ,39.142 
E01000177,1281,71.585 ,67.135 ,16.828 ,71.709 ,58.430 
E01000178,1316,65.729 ,61.778 ,16.646 ,68.020 ,57.337 
E01000179,1411,75.833 ,72.573 ,10.889 ,74.658 ,51.808 
E01000180,1306,62.864 ,57.734 ,8.399 ,71.220 ,48.285 
E01000181,1399,72.480 ,68.620 ,19.813 ,73.679 ,58.428 
E01000182,1360,69.191 ,65.147 ,21.902 ,72.398 ,62.543 
E01000183,1208,59.603 ,55.877 ,20.939 ,71.707 ,53.423 
E01000184,1514,61.955 ,53.897 ,29.799 ,71.011 ,34.066 
E01000185,1227,59.576 ,51.589 ,25.570 ,66.562 ,30.599 
E01000186,1305,67.203 ,64.444 ,26.440 ,60.808 ,44.167 
E01000187,1249,61.009 ,56.685 ,27.601 ,59.775 ,43.954 
E01000188,1203,62.677 ,60.599 ,18.305 ,62.069 ,49.931 
E01000189,1904,71.429 ,65.074 ,28.530 ,74.095 ,42.181 
E01000190,1345,63.420 ,59.108 ,33.534 ,68.274 ,47.619 
E01000191,1195,58.996 ,56.067 ,28.317 ,60.805 ,46.716 
E01000192,1549,64.493 ,60.943 ,31.742 ,60.063 ,38.825 
E01000193,1591,65.368 ,60.025 ,33.767 ,61.707 ,35.916 
E01000194,1449,64.320 ,59.006 ,33.468 ,64.042 ,30.510 
E01000195,1522,62.943 ,58.279 ,31.966 ,66.328 ,23.510 
E01000196,1823,68.623 ,60.395 ,18.699 ,69.203 ,48.776 
E01000197,1493,72.338 ,67.448 ,30.180 ,69.940 ,47.515 
E01000198,1623,63.956 ,60.259 ,33.657 ,64.110 ,47.282 
E01000199,1290,57.287 ,54.264 ,31.002 ,66.810 ,60.807 
E01000200,1626,57.257 ,53.690 ,18.781 ,67.735 ,55.429 
E01000201,1229,59.154 ,56.957 ,23.297 ,66.525 ,57.102 
E01000202,1354,66.987 ,64.032 ,21.061 ,65.741 ,56.416 
E01000203,1475,62.983 ,54.373 ,16.256 ,65.157 ,44.348 
E01000204,1389,64.651 ,61.267 ,13.306 ,65.922 ,57.362 
E01000205,1168,66.353 ,63.784 ,14.150 ,69.385 ,63.941 
E01000206,1235,57.328 ,55.951 ,6.262 ,65.985 ,63.411 
E01000207,1254,55.423 ,53.030 ,13.119 ,70.136 ,61.782 
E01000208,1307,67.177 ,64.805 ,8.960 ,69.601 ,62.235 
E01000209,1240,55.000 ,52.258 ,13.037 ,65.798 ,67.593 
E01000210,1177,69.584 ,66.270 ,17.405 ,68.129 ,62.228 
E01000211,1725,64.116 ,59.826 ,7.399 ,67.546 ,42.564 
E01000212,1113,62.803 ,60.467 ,16.667 ,63.811 ,56.166 
E01000213,1034,61.992 ,59.381 ,18.558 ,67.427 ,66.830 
E01000214,1387,68.854 ,65.681 ,12.081 ,72.967 ,60.460 
E01000215,1430,58.322 ,55.455 ,17.967 ,48.618 ,41.761 
E01000216,1475,62.576 ,58.576 ,14.918 ,61.369 ,55.000 
E01000217,1243,67.015 ,64.200 ,20.390 ,57.071 ,43.489 
E01000218,1299,62.510 ,60.046 ,18.248 ,50.258 ,38.265 
E01000219,1473,69.586 ,66.802 ,25.660 ,51.890 ,31.869 
E01000220,1376,60.029 ,56.177 ,12.508 ,49.936 ,33.979 
E01000221,1043,55.609 ,47.747 ,17.491 ,60.279 ,27.879 
E01000222,1628,60.074 ,54.791 ,16.526 ,62.430 ,35.546 
E01000223,1533,62.361 ,56.425 ,13.382 ,62.282 ,28.784 
E01000224,1329,58.540 ,53.649 ,14.403 ,62.113 ,36.119 
E01000225,1240,59.032 ,56.129 ,14.895 ,54.454 ,43.966 
E01000226,1369,63.550 ,58.072 ,21.593 ,66.667 ,21.006 
E01000227,1494,64.592 ,61.446 ,22.360 ,68.251 ,41.595 
E01000228,1139,64.969 ,61.633 ,13.399 ,68.324 ,46.705 
E01000229,1288,64.286 ,61.025 ,12.418 ,69.250 ,31.083 
E01000230,1430,60.699 ,57.762 ,9.792 ,60.291 ,41.255 
E01000231,1404,66.311 ,62.749 ,25.299 ,67.349 ,38.958 
E01000232,1490,61.409 ,58.188 ,21.606 ,68.973 ,44.804 
E01000233,1530,69.085 ,65.359 ,25.468 ,66.667 ,44.677 
E01000234,1367,70.300 ,67.447 ,27.859 ,69.826 ,50.655 
E01000235,1499,63.509 ,59.039 ,18.796 ,66.742 ,27.996 
E01000236,1404,63.177 ,60.399 ,15.063 ,62.249 ,39.120 
E01000237,1652,70.642 ,65.073 ,19.648 ,68.994 ,36.305 
E01000238,1517,65.063 ,60.382 ,26.759 ,61.842 ,31.908 
E01000239,1695,65.310 ,60.295 ,25.535 ,67.554 ,32.549 
E01000240,1442,63.454 ,60.055 ,17.091 ,68.256 ,33.759 
E01000241,1430,66.224 ,62.448 ,20.534 ,66.779 ,45.241 
E01000242,1217,59.819 ,55.629 ,18.405 ,61.799 ,50.074 
E01000243,1740,69.713 ,63.678 ,22.591 ,63.110 ,31.483 
E01000244,1377,66.158 ,59.187 ,21.292 ,63.681 ,34.474 
E01000245,1686,64.769 ,57.236 ,17.384 ,63.551 ,22.661 
E01000246,1249,61.890 ,58.207 ,23.093 ,71.507 ,52.329 
E01000247,1375,69.745 ,65.309 ,31.223 ,72.627 ,49.279 
E01000248,1388,63.761 ,60.951 ,18.338 ,72.406 ,54.108 
E01000249,1307,63.504 ,60.444 ,13.618 ,67.640 ,54.626 
E01000250,2175,66.253 ,60.414 ,28.876 ,71.157 ,44.749 
E01000251,1848,59.307 ,54.708 ,22.713 ,67.291 ,44.167 
E01000252,1427,67.975 ,62.228 ,19.697 ,75.709 ,47.511 
E01000253,1594,60.916 ,59.348 ,20.035 ,66.879 ,55.696 
E01000254,1312,62.043 ,59.146 ,21.140 ,65.290 ,55.928 
E01000255,1369,58.364 ,55.807 ,24.209 ,67.102 ,44.855 
E01000256,1454,64.030 ,60.523 ,29.427 ,67.431 ,44.343 
E01000257,1665,68.168 ,62.943 ,21.677 ,70.678 ,43.595 
E01000258,1562,61.972 ,58.899 ,16.481 ,67.283 ,50.656 
E01000259,2090,63.349 ,58.900 ,25.416 ,69.741 ,45.894 
